Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 
Enzyme Commission	2.4.1.359	Putative	KEGG	K05929	Putative	Pfam	PF06007	Putative
Enzyme Commission	2.4.1.361	Putative	KEGG	K04019	Putative	Pfam	PF06026	Putative
Enzyme Commission	2.4.1.370	Putative	KEGG	K03735	Putative	Pfam	PF06070	Putative
Enzyme Commission	2.4.1.371	Putative	KEGG	K03736	Putative	Pfam	PF06087	Putative
Enzyme Commission	2.4.1.377	Putative	KEGG	K14286	Putative	Pfam	PF06090	Putative
Enzyme Commission	2.4.1.379	Putative	KEGG	K00551	Putative	Pfam	PF06130	Putative
Enzyme Commission	2.4.1.380	Putative	KEGG	K16369	Putative	Pfam	PF06135	Putative
Enzyme Commission	2.4.1.381	Putative	KEGG	K00550	Putative	Pfam	PF06146	Putative
Enzyme Commission	2.4.1.388	Putative	KEGG	K00570	Putative	Pfam	PF06315	Putative
Enzyme Commission	2.4.2.1	Putative	KEGG	K01521	Putative	Pfam	PF06432	Putative
Enzyme Commission	2.4.2.2	Putative	KEGG	K00981	Putative	Pfam	PF06559	Putative
Enzyme Commission	2.4.2.3	Putative	KEGG	K01004	Putative	Pfam	PF06560	Putative
Enzyme Commission	2.4.2.4	Putative	KEGG	K00998	Putative	Pfam	PF06602	Putative
Enzyme Commission	2.4.2.7	Putative	KEGG	K17103	Putative	Pfam	PF06617	Putative
Enzyme Commission	2.4.2.8	Putative	KEGG	K13618	Putative	Pfam	PF06754	Putative
Enzyme Commission	2.4.2.9	Putative	KEGG	K08729	Putative	Pfam	PF06865	Putative
Enzyme Commission	2.4.2.10	Putative	KEGG	K08730	Putative	Pfam	PF06874	Putative
Enzyme Commission	2.4.2.12	Putative	KEGG	K01613	Putative	Pfam	PF06888	Putative
Enzyme Commission	2.4.2.14	Putative	KEGG	K00995	Putative	Pfam	PF06951	Putative
Enzyme Commission	2.4.2.15	Putative	KEGG	K01094	Putative	Pfam	PF06956	Putative
Enzyme Commission	2.4.2.16	Putative	KEGG	K01095	Putative	Pfam	PF07297	Putative
Enzyme Commission	2.4.2.17	Putative	KEGG	K01096	Putative	Pfam	PF07307	Putative
Enzyme Commission	2.4.2.18	Putative	KEGG	K18697	Putative	Pfam	PF07396	Putative
Enzyme Commission	2.4.2.19	Putative	KEGG	K06131	Putative	Pfam	PF07418	Putative
Enzyme Commission	2.4.2.20	Putative	KEGG	K06132	Putative	Pfam	PF07448	Putative
Enzyme Commission	2.4.2.21	Putative	KEGG	K08744	Putative	Pfam	PF07456	Putative
Enzyme Commission	2.4.2.22	Putative	KEGG	K13511	Putative	Pfam	PF07479	Putative
Enzyme Commission	2.4.2.27	Putative	KEGG	K00914	Putative	Pfam	PF07491	Putative
Enzyme Commission	2.4.2.28	Putative	KEGG	K01108	Putative	Pfam	PF07663	Putative
Enzyme Commission	2.4.2.32	Putative	KEGG	K18081	Putative	Pfam	PF07823	Putative
Enzyme Commission	2.4.2.33	Putative	KEGG	K18082	Putative	Pfam	PF07830	Putative
Enzyme Commission	2.4.2.44	Putative	KEGG	K18083	Putative	Pfam	PF07831	Putative
Enzyme Commission	2.4.2.45	Putative	KEGG	K18086	Putative	Pfam	PF07931	Putative
Enzyme Commission	2.4.2.49	Putative	KEGG	K21302	Putative	Pfam	PF07994	Putative
Enzyme Commission	2.4.2.52	Putative	KEGG	K00888	Putative	Pfam	PF08009	Putative
Enzyme Commission	2.4.2.53	Putative	KEGG	K19801	Putative	Pfam	PF08013	Putative
Enzyme Commission	2.4.2.54	Putative	KEGG	K13711	Putative	Pfam	PF08019	Putative
